WindSat Ascending Node Times
format: (1x,i6.6,1x,i4.4,1x,f8.5,1x,f15.5,3x,i4.4,1x,i2.2,1x,i2.2,1x,i3.3,1x,i5.5,1x,f8.3)
 rev	scan  frcrev   sec since 1/1/00 YYYY MM DD JJJ isecdy  frchour
 000500 0932  0.25000  98188015.21461   2003 02 10 041 37615   10.449
 000501 0932  0.25017  98194112.67081   2003 02 10 041 43712   12.142
 000502 0932  0.25002  98200208.21910   2003 02 10 041 49808   13.836
 000503 0932  0.25015  98206305.67461   2003 02 10 041 55905   15.529
 000504 0933  0.25031  98212403.12042   2003 02 10 041 62003   17.223
 000505 0932  0.25017  98218498.66691   2003 02 10 041 68098   18.916
 000506 0932  0.25004  98224594.22229   2003 02 10 041 74194   20.610
 000507 0932  0.25020  98230691.66957   2003 02 10 041 80291   22.303
 000508 0932  0.25006  98236787.22600   2003 02 10 041 86387   23.996
 000509 0932  0.25022  98242884.67177   2003 02 11 042 06084    1.690
 000510 0932  0.25005  98248980.21698   2003 02 11 042 12180    3.383
 000511 0932  0.25021  98255077.67172   2003 02 11 042 18277    5.077
 000512 0932  0.25006  98261173.21254   2003 02 11 042 24373    6.770
 000513 0932  0.25022  98267270.66584   2003 02 11 042 30470    8.464
 000514 0932  0.25007  98273366.21223   2003 02 11 042 36566   10.157
 000517 0001  0.52590  98293337.20663   2003 02 11 042 56537   15.705
 000518 0932  0.25009  98297752.20949   2003 02 11 042 60952   16.931
 000519 0932  0.25026  98303849.65479   2003 02 11 042 67049   18.625
 000520 0932  0.25012  98309945.19968   2003 02 11 042 73145   20.318
 000521 0932  0.25029  98316042.65464   2003 02 11 042 79242   22.012
 000522 0932  0.25015  98322138.19975   2003 02 11 042 85338   23.705
 000523 0933  0.25031  98328235.65481   2003 02 12 043 05035    1.399
 000524 0932  0.25014  98334331.19970   2003 02 12 043 11131    3.092
 000525 0933  0.25031  98340428.65489   2003 02 12 043 17228    4.786
 000526 0932  0.25015  98346524.19977   2003 02 12 043 23324    6.479
 000527 0932  0.25000  98352619.74435   2003 02 12 043 29419    8.172
 000528 0932  0.25017  98358717.19943   2003 02 12 043 35517    9.866
 000529 0932  0.25003  98364812.74438   2003 02 12 043 41612   11.559
 000530 0932  0.25019  98370910.19942   2003 02 12 043 47710   13.253
 000531 0932  0.25004  98377005.74384   2003 02 12 043 53805   14.946
 000532 0932  0.25018  98383103.18694   2003 02 12 043 59903   16.640
 000533 0932  0.25004  98389198.74174   2003 02 12 043 65998   18.333
 000534 0932  0.25020  98395296.18578   2003 02 12 043 72096   20.027
 000535 0932  0.25007  98401391.74138   2003 02 12 043 78191   21.720
 000536 0932  0.25023  98407489.18471   2003 02 12 043 84289   23.414
 000537 0932  0.25009  98413584.73049   2003 02 13 044 03984    1.107
